Date & Time,Flow (cfs),Location,Year
7/11/1971,469,"Rio Grande Below Cochiti Dam, NM",1971
7/12/1971,244,"Rio Grande Below Cochiti Dam, NM",1971
7/13/1971,180,"Rio Grande Below Cochiti Dam, NM",1971
7/14/1971,135,"Rio Grande Below Cochiti Dam, NM",1971
7/15/1971,115,"Rio Grande Below Cochiti Dam, NM",1971
7/16/1971,105,"Rio Grande Below Cochiti Dam, NM",1971
7/17/1971,102,"Rio Grande Below Cochiti Dam, NM",1971
7/18/1971,122,"Rio Grande Below Cochiti Dam, NM",1971
7/19/1971,110,"Rio Grande Below Cochiti Dam, NM",1971
7/20/1971,254,"Rio Grande Below Cochiti Dam, NM",1971
7/21/1971,357,"Rio Grande Below Cochiti Dam, NM",1971
7/22/1971,860,"Rio Grande Below Cochiti Dam, NM",1971
7/23/1971,1020,"Rio Grande Below Cochiti Dam, NM",1971
7/24/1971,602,"Rio Grande Below Cochiti Dam, NM",1971
7/25/1971,537,"Rio Grande Below Cochiti Dam, NM",1971
7/26/1971,1380,"Rio Grande Below Cochiti Dam, NM",1971
7/27/1971,1070,"Rio Grande Below Cochiti Dam, NM",1971
7/28/1971,622,"Rio Grande Below Cochiti Dam, NM",1971
7/29/1971,513,"Rio Grande Below Cochiti Dam, NM",1971
7/30/1971,437,"Rio Grande Below Cochiti Dam, NM",1971
7/31/1971,433,"Rio Grande Below Cochiti Dam, NM",1971
8/1/1971,475,"Rio Grande Below Cochiti Dam, NM",1971
8/2/1971,331,"Rio Grande Below Cochiti Dam, NM",1971
8/3/1971,346,"Rio Grande Below Cochiti Dam, NM",1971
8/4/1971,283,"Rio Grande Below Cochiti Dam, NM",1971
8/5/1971,261,"Rio Grande Below Cochiti Dam, NM",1971
8/6/1971,298,"Rio Grande Below Cochiti Dam, NM",1971
8/7/1971,366,"Rio Grande Below Cochiti Dam, NM",1971
8/8/1971,474,"Rio Grande Below Cochiti Dam, NM",1971
8/9/1971,346,"Rio Grande Below Cochiti Dam, NM",1971
8/10/1971,619,"Rio Grande Below Cochiti Dam, NM",1971
8/11/1971,475,"Rio Grande Below Cochiti Dam, NM",1971
8/12/1971,331,"Rio Grande Below Cochiti Dam, NM",1971
8/13/1971,518,"Rio Grande Below Cochiti Dam, NM",1971
8/14/1971,299,"Rio Grande Below Cochiti Dam, NM",1971
8/15/1971,305,"Rio Grande Below Cochiti Dam, NM",1971
8/16/1971,289,"Rio Grande Below Cochiti Dam, NM",1971
8/17/1971,217,"Rio Grande Below Cochiti Dam, NM",1971
8/18/1971,243,"Rio Grande Below Cochiti Dam, NM",1971
8/19/1971,668,"Rio Grande Below Cochiti Dam, NM",1971
8/20/1971,586,"Rio Grande Below Cochiti Dam, NM",1971
8/21/1971,437,"Rio Grande Below Cochiti Dam, NM",1971
8/22/1971,645,"Rio Grande Below Cochiti Dam, NM",1971
8/23/1971,642,"Rio Grande Below Cochiti Dam, NM",1971
8/24/1971,462,"Rio Grande Below Cochiti Dam, NM",1971
8/25/1971,371,"Rio Grande Below Cochiti Dam, NM",1971
8/26/1971,289,"Rio Grande Below Cochiti Dam, NM",1971
8/27/1971,229,"Rio Grande Below Cochiti Dam, NM",1971
8/28/1971,186,"Rio Grande Below Cochiti Dam, NM",1971
8/29/1971,227,"Rio Grande Below Cochiti Dam, NM",1971
8/30/1971,299,"Rio Grande Below Cochiti Dam, NM",1971
8/31/1971,244,"Rio Grande Below Cochiti Dam, NM",1971
9/1/1971,190,"Rio Grande Below Cochiti Dam, NM",1971
9/2/1971,178,"Rio Grande Below Cochiti Dam, NM",1971
9/3/1971,166,"Rio Grande Below Cochiti Dam, NM",1971
9/4/1971,180,"Rio Grande Below Cochiti Dam, NM",1971
9/5/1971,183,"Rio Grande Below Cochiti Dam, NM",1971
9/6/1971,151,"Rio Grande Below Cochiti Dam, NM",1971
9/7/1971,128,"Rio Grande Below Cochiti Dam, NM",1971
9/8/1971,125,"Rio Grande Below Cochiti Dam, NM",1971
9/9/1971,139,"Rio Grande Below Cochiti Dam, NM",1971
9/10/1971,127,"Rio Grande Below Cochiti Dam, NM",1971
9/11/1971,138,"Rio Grande Below Cochiti Dam, NM",1971
9/12/1971,152,"Rio Grande Below Cochiti Dam, NM",1971
9/13/1971,136,"Rio Grande Below Cochiti Dam, NM",1971
9/14/1971,125,"Rio Grande Below Cochiti Dam, NM",1971
9/15/1971,119,"Rio Grande Below Cochiti Dam, NM",1971
9/16/1971,131,"Rio Grande Below Cochiti Dam, NM",1971
9/17/1971,143,"Rio Grande Below Cochiti Dam, NM",1971
9/18/1971,335,"Rio Grande Below Cochiti Dam, NM",1971
9/19/1971,462,"Rio Grande Below Cochiti Dam, NM",1971
9/20/1971,430,"Rio Grande Below Cochiti Dam, NM",1971
9/21/1971,395,"Rio Grande Below Cochiti Dam, NM",1971
9/22/1971,429,"Rio Grande Below Cochiti Dam, NM",1971
9/23/1971,548,"Rio Grande Below Cochiti Dam, NM",1971
9/24/1971,527,"Rio Grande Below Cochiti Dam, NM",1971
9/25/1971,550,"Rio Grande Below Cochiti Dam, NM",1971
9/26/1971,505,"Rio Grande Below Cochiti Dam, NM",1971
9/27/1971,354,"Rio Grande Below Cochiti Dam, NM",1971
9/28/1971,312,"Rio Grande Below Cochiti Dam, NM",1971
