Date & Time,Flow (cfs),Location,Year,,,
9/1/1927,1140,"Rio Grande at San Felipe, NM",1927,,,
9/2/1927,1240,"Rio Grande at San Felipe, NM",1927,,,
9/3/1927,1320,"Rio Grande at San Felipe, NM",1927,,,
9/4/1927,1500,"Rio Grande at San Felipe, NM",1927,,,
9/5/1927,1620,"Rio Grande at San Felipe, NM",1927,,,
9/6/1927,1710,"Rio Grande at San Felipe, NM",1927,,,
9/7/1927,1860,"Rio Grande at San Felipe, NM",1927,,,
9/8/1927,2460,"Rio Grande at San Felipe, NM",1927,,,
9/9/1927,2550,"Rio Grande at San Felipe, NM",1927,,,
9/10/1927,2990,"Rio Grande at San Felipe, NM",1927,,,
9/11/1927,3010,"Rio Grande at San Felipe, NM",1927,,,
9/12/1927,3360,"Rio Grande at San Felipe, NM",1927,,,
9/13/1927,5710,"Rio Grande at San Felipe, NM",1927,,,
9/14/1927,6110,"Rio Grande at San Felipe, NM",1927,,,
9/15/1927,5320,"Rio Grande at San Felipe, NM",1927,,,
9/16/1927,6730,"Rio Grande at San Felipe, NM",1927,,,
9/17/1927,6150,"Rio Grande at San Felipe, NM",1927,,,
9/18/1927,6200,"Rio Grande at San Felipe, NM",1927,,,
9/19/1927,4770,"Rio Grande at San Felipe, NM",1927,,,
9/20/1927,4160,"Rio Grande at San Felipe, NM",1927,,,
9/21/1927,3640,"Rio Grande at San Felipe, NM",1927,,,
9/22/1927,3270,"Rio Grande at San Felipe, NM",1927,,,
9/23/1927,3070,"Rio Grande at San Felipe, NM",1927,,,
9/24/1927,3060,"Rio Grande at San Felipe, NM",1927,,,
9/25/1927,3160,"Rio Grande at San Felipe, NM",1927,,,
9/26/1927,3120,"Rio Grande at San Felipe, NM",1927,,,
9/27/1927,3530,"Rio Grande at San Felipe, NM",1927,,,
9/28/1927,3440,"Rio Grande at San Felipe, NM",1927,,,
9/29/1927,3360,"Rio Grande at San Felipe, NM",1927,,,
9/30/1927,3130,"Rio Grande at San Felipe, NM",1927,,,
10/1/1927,2900,"Rio Grande at San Felipe, NM",1927,,,
10/2/1927,3220,"Rio Grande at San Felipe, NM",1927,,,
10/3/1927,3270,"Rio Grande at San Felipe, NM",1927,,,
10/4/1927,3230,"Rio Grande at San Felipe, NM",1927,,,
10/5/1927,3180,"Rio Grande at San Felipe, NM",1927,,,
10/6/1927,2940,"Rio Grande at San Felipe, NM",1927,,,
10/7/1927,2940,"Rio Grande at San Felipe, NM",1927,,,
10/8/1927,2900,"Rio Grande at San Felipe, NM",1927,,,
10/9/1927,2890,"Rio Grande at San Felipe, NM",1927,,,
10/10/1927,2700,"Rio Grande at San Felipe, NM",1927,,,
10/11/1927,2570,"Rio Grande at San Felipe, NM",1927,,,
10/12/1927,2410,"Rio Grande at San Felipe, NM",1927,,,
10/13/1927,2200,"Rio Grande at San Felipe, NM",1927,,,
